Date,CumulativeCases,CumulativeDeaths ,NewDeaths,NewCases
3/13/2020,1,0,0,1
3/14/2020,1,0,0,0
3/15/2020,3,0,0,2
3/16/2020,3,0,0,0
3/17/2020,3,0,0,0
3/18/2020,3,0,0,0
3/19/2020,7,0,0,4
3/20/2020,7,0,0,0
3/21/2020,7,0,0,0
3/22/2020,15,0,0,8
3/23/2020,16,0,0,1
3/24/2020,25,0,0,9
3/25/2020,28,0,0,3
3/26/2020,31,1,1,3
3/27/2020,31,1,0,0
3/28/2020,38,1,0,7
3/29/2020,42,1,0,4
3/30/2020,50,1,0,8
3/31/2020,59,1,0,9
4/1/2020,81,1,0,22
4/2/2020,110,3,2,29
4/3/2020,122,4,1,12
4/4/2020,126,4,0,4
4/5/2020,142,4,0,16
4/6/2020,158,6,2,16
4/7/2020,172,6,0,14
4/8/2020,179,6,0,7
4/9/2020,184,7,1,5
4/10/2020,189,7,0,5
4/11/2020,191,7,0,2
4/12/2020,197,8,1,6
4/13/2020,208,9,1,11
4/14/2020,216,9,0,8
4/15/2020,225,10,1,9
4/16/2020,234,11,1,9
4/17/2020,246,11,0,12
4/18/2020,262,12,1,16
4/19/2020,270,14,2,8
4/20/2020,281,14,0,11
4/21/2020,296,14,0,15
4/22/2020,303,14,0,7
4/23/2020,320,14,0,17
4/24/2020,336,14,0,16
4/25/2020,343,14,0,7
4/26/2020,355,14,0,12
4/27/2020,363,14,0,8
4/28/2020,374,14,0,11
4/29/2020,384,15,1,10
4/30/2020,396,17,2,12
5/1/2020,411,21,4,15
5/2/2020,435,22,1,24
5/3/2020,465,24,2,30
5/4/2020,490,24,0,25
5/5/2020,535,24,0,45
5/6/2020,582,26,2,47
5/7/2020,607,29,3,25
5/8/2020,621,29,0,14
5/9/2020,649,30,1,28
5/10/2020,672,32,2,23
5/11/2020,700,33,1,28
5/12/2020,715,36,3,15
5/13/2020,737,40,4,22
5/14/2020,758,42,2,21
5/15/2020,781,45,3,23
5/16/2020,830,50,5,49
5/17/2020,887,50,0,57
5/18/2020,912,50,0,25
5/19/2020,963,50,0,51
5/20/2020,1029,50,0,66
5/21/2020,1109,50,0,80
5/22/2020,1161,50,0,52
5/23/2020,1192,50,0,31
5/24/2020,1214,51,1,22
5/25/2020,1286,52,1,72
5/26/2020,1348,52,0,62
5/27/2020,1471,55,3,123
5/28/2020,1618,58,3,147
5/29/2020,1745,62,4,127
5/30/2020,1888,63,1,143
5/31/2020,1962,64,1,74
6/1/2020,2021,69,5,59
6/2/2020,2093,71,2,72
6/3/2020,2216,74,3,123
6/4/2020,2340,78,4,124
6/5/2020,2474,79,1,134
